source_url,high,medium,low,non_critical,gas
https://code4rena.com/reports/2023-10-brahma,0,24,0,0,0
https://code4rena.com/reports/2023-10-canto,6,30,0,0,0
https://code4rena.com/reports/2023-10-ens,0,6,0,0,0
https://code4rena.com/reports/2023-10-ethena,0,24,0,0,0
https://code4rena.com/reports/2023-10-nextgen,30,72,0,0,0
https://code4rena.com/reports/2023-10-opendollar,12,90,0,0,0
https://code4rena.com/reports/2023-10-party,12,42,0,0,0
https://code4rena.com/reports/2023-10-wildcat,36,60,0,0,0
https://code4rena.com/reports/2023-10-zksync,36,132,0,0,0
https://code4rena.com/reports/2023-11-betafinance,0,30,0,0,0
https://code4rena.com/reports/2023-11-canto,6,12,0,0,0
https://code4rena.com/reports/2023-11-kelp,18,12,0,0,0
https://code4rena.com/reports/2023-11-panoptic,12,30,0,0,0
https://code4rena.com/reports/2023-11-shellprotocol,0,0,0,0,0
https://code4rena.com/reports/2023-11-zetachain,84,204,0,0,0
https://code4rena.com/reports/2023-12-autonolas,30,30,0,0,0
https://code4rena.com/reports/2023-12-ethereumcreditguild,24,150,0,0,0
https://code4rena.com/reports/2023-12-initcapital,18,72,0,0,0
https://code4rena.com/reports/2023-12-particle,24,90,0,0,0
https://code4rena.com/reports/2023-12-revolutionprotocol,24,84,0,0,0
https://code4rena.com/reports/2024-01-canto,12,12,0,0,0
https://code4rena.com/reports/2024-01-curves,30,60,0,0,0
https://code4rena.com/reports/2024-01-decent,24,30,0,0,0
https://code4rena.com/reports/2024-01-init-capital-invitational,18,24,0,0,0
https://code4rena.com/reports/2024-01-opus,24,54,0,0,0
https://code4rena.com/reports/2024-01-renft,42,96,0,0,0
https://code4rena.com/reports/2024-01-salty,36,186,0,0,0
https://code4rena.com/reports/2024-02-ai-arena,48,54,0,0,0
https://code4rena.com/reports/2024-02-althea-liquid-infrastructure,6,24,0,0,0
https://code4rena.com/reports/2024-02-hydradx,6,60,0,0,0
https://code4rena.com/reports/2024-02-spectra,0,12,0,0,0
https://code4rena.com/reports/2024-02-tapioca,72,192,0,0,0
https://code4rena.com/reports/2024-02-thruster,0,30,0,0,0
https://code4rena.com/reports/2024-02-uniswap-foundation,0,0,0,0,0
https://code4rena.com/reports/2024-02-wise-lending,30,102,0,0,0
https://code4rena.com/reports/2024-03-abracadabra-money,24,96,0,0,0
https://code4rena.com/reports/2024-03-acala,18,24,0,0,0
https://code4rena.com/reports/2024-03-canto,12,18,0,0,0
https://code4rena.com/reports/2024-03-coinbase,6,12,0,0,0
https://code4rena.com/reports/2024-03-dittoeth,42,54,0,0,0
https://code4rena.com/reports/2024-03-gitcoin,6,0,0,0,0
https://code4rena.com/reports/2024-03-neobase,6,42,0,0,0
https://code4rena.com/reports/2024-03-ondo-finance,6,24,0,0,0
https://code4rena.com/reports/2024-03-phala-network,0,24,0,0,0
https://code4rena.com/reports/2024-03-pooltogether,6,48,0,0,0
https://code4rena.com/reports/2024-03-revert-lend,36,150,0,0,0
https://code4rena.com/reports/2024-03-taiko,30,84,0,0,0
https://code4rena.com/reports/2024-03-zksync,6,24,0,0,0
https://code4rena.com/reports/2024-04-dyad,60,54,0,0,0
https://code4rena.com/reports/2024-04-gondi,102,120,0,0,0
https://code4rena.com/reports/2024-04-lavarage,18,24,0,0,0
https://code4rena.com/reports/2024-04-noya,138,378,0,0,0
https://code4rena.com/reports/2024-04-panoptic,12,54,0,0,0
https://code4rena.com/reports/2024-04-renzo,48,84,0,0,0
https://code4rena.com/reports/2024-05-arbitrum-foundation,12,12,0,0,0
https://code4rena.com/reports/2024-05-bakerfi,24,48,0,0,0
https://code4rena.com/reports/2024-05-canto,0,24,0,0,0
https://code4rena.com/reports/2024-05-loop,6,0,0,0,0
https://code4rena.com/reports/2024-05-munchables,12,24,0,0,0
https://code4rena.com/reports/2024-05-olas,12,120,0,0,0
https://code4rena.com/reports/2024-05-predy,24,48,0,0,0
https://code4rena.com/reports/2024-06-badger,0,12,0,0,0
https://code4rena.com/reports/2024-06-gondi,0,0,0,0,0
https://code4rena.com/reports/2024-06-krystal-defi,0,30,0,0,0
https://code4rena.com/reports/2024-06-panoptic,0,0,0,0,0
https://code4rena.com/reports/2024-06-size,24,78,0,0,0
https://code4rena.com/reports/2024-06-thorchain,12,12,0,0,0
https://code4rena.com/reports/2024-06-vultisig,18,18,0,0,0
https://code4rena.com/reports/2024-07-basin,12,12,0,0,0
https://code4rena.com/reports/2024-07-benddao,48,120,0,0,0
https://code4rena.com/reports/2024-07-dittoeth,24,6,0,0,0
https://code4rena.com/reports/2024-07-karak,24,30,0,0,0
https://code4rena.com/reports/2024-07-loopfi,90,234,0,0,0
https://code4rena.com/reports/2024-07-munchables,30,6,0,0,0
https://code4rena.com/reports/2024-07-optimism,30,66,0,0,0
https://code4rena.com/reports/2024-07-reserve,0,42,0,0,0
https://code4rena.com/reports/2024-07-traitforge,36,114,0,0,0
https://code4rena.com/reports/2024-08-axelar-network,12,12,0,0,0
https://code4rena.com/reports/2024-08-basin,0,6,0,0,0
https://code4rena.com/reports/2024-08-chakra,84,72,0,0,0
https://code4rena.com/reports/2024-08-phi,42,48,0,0,0
https://code4rena.com/reports/2024-08-superposition,42,72,0,0,0
https://code4rena.com/reports/2024-08-wildcat,6,48,0,0,0
https://code4rena.com/reports/2024-09-fenix-finance,6,36,0,0,0
https://code4rena.com/reports/2024-09-kakarot,36,66,0,0,0
https://code4rena.com/reports/2024-09-panoptic,0,0,0,0,0
https://code4rena.com/reports/2024-10-coded-estate,54,54,0,0,0
https://code4rena.com/reports/2024-10-kleidi,0,18,0,0,0
https://code4rena.com/reports/2024-10-loopfi,12,30,0,0,0
https://code4rena.com/reports/2024-10-ramses-exchange,0,12,0,0,0
https://code4rena.com/reports/2024-10-ronin,0,0,0,0,0
https://code4rena.com/reports/2024-10-superposition,18,18,0,0,0
